X [s],Analog Input adapter 16: Analog.A 16 [V],Analog Input adapter 16: Analog.B 16 [V],Analog Input adapter 16: Analog.C 16 [V],Analog Input adapter 16: Analog.D 16 [V]
5.670000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
5.689286e-001,2.867989e-001,1.418134e+000,7.047735e-002,1.417664e+000
5.708571e-001,2.861715e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.727857e-001,2.866421e-001,1.418291e+000,7.079109e-002,1.417350e+000
5.747143e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417350e+000
5.766429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.785714e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
5.805000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
5.824286e-001,2.866421e-001,1.418134e+000,7.079109e-002,1.417507e+000
5.843571e-001,2.866421e-001,1.418134e+000,7.063422e-002,1.417350e+000
5.862857e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
5.882143e-001,2.866421e-001,1.417820e+000,7.032049e-002,1.417350e+000
5.901429e-001,2.863283e-001,1.417507e+000,7.047735e-002,1.417350e+000
5.920714e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
5.940000e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
5.959286e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417350e+000
5.978571e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
5.997857e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417507e+000
6.017143e-001,2.866421e-001,1.417977e+000,7.063422e-002,1.417507e+000
6.036429e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
6.055714e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
6.075000e-001,2.866421e-001,1.417664e+000,7.047735e-002,1.417350e+000
6.094286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
6.113571e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
6.132857e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417507e+000
6.152143e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
6.171429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417507e+000
6.190714e-001,2.866421e-001,1.418291e+000,7.047735e-002,1.417350e+000
6.210000e-001,2.866421e-001,1.417977e+000,7.016362e-002,1.417507e+000
6.229286e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
6.248571e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417507e+000
6.267857e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
6.287143e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
6.306429e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
6.325714e-001,2.866421e-001,1.417820e+000,7.047735e-002,1.417350e+000
6.345000e-001,2.866421e-001,1.417977e+000,7.047735e-002,1.417350e+000
6.364286e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417350e+000
6.383571e-001,2.866421e-001,1.417977e+000,7.032049e-002,1.417507e+000
6.402857e-001,2.867989e-001,1.418134e+000,7.079109e-002,1.417350e+000
6.422143e-001,2.866421e-001,1.417977e+000,7.079109e-002,1.417350e+000
6.441429e-001,2.866421e-001,1.418134e+000,7.047735e-002,1.417350e+000
6.460714e-001,2.863283e-001,1.417977e+000,7.063422e-002,1.417507e+000
